"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/29/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/30/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/31/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/01/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/02/2023","AQS","390990015","1","2","ppb","3","Youngstown State","19","79.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/03/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/04/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/05/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/06/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/07/2023","AQS","390990015","1","0","ppb","0","Youngstown State","22","92.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/08/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/09/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/10/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/11/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/12/2023","AQS","390990015","1","5","ppb","7","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/13/2023","AQS","390990015","1","6","ppb","9","Youngstown State","22","92.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/14/2023","AQS","390990015","1","4","ppb","6","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/15/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/16/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/17/2023","AQS","390990015","1","0","ppb","0","Youngstown State","21","88.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/23/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/24/2023","AQS","390990015","1","0","ppb","0","Youngstown State","22","92.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/25/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/26/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/27/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"02/28/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/01/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/02/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/03/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/04/2023","AQS","390990015","1","5","ppb","7","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/05/2023","AQS","390990015","1","5","ppb","7","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/06/2023","AQS","390990015","1","3","ppb","4","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/07/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/08/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/09/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/10/2023","AQS","390990015","1","0","ppb","0","Youngstown State","22","92.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/11/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/12/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/13/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/14/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/15/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/16/2023","AQS","390990015","1","5","ppb","7","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/17/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/18/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"03/19/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
